Num_Conv_Layers,Num_Filters,Kernel_Size,MLP_Num_Hidden_Layers,MLP_Units_Per_Layer,Activation,Dropout_Rate,Batch_Size,Epochs,Learning_Rate,Output_Activation,Accuracy
1,32,"(3, 3)",1,256,relu,0.4,32,50,0.01,softmax,0.3321917951107025
1,32,"(3, 3)",1,256,relu,0.4,32,50,0.1,sigmoid,0.3424657583236694
1,32,"(3, 3)",1,256,relu,0.4,32,50,0.1,softmax,0.3424657583236694
1,32,"(3, 3)",1,512,relu,0.4,32,50,0.001,sigmoid,0.9406392574310304
1,32,"(3, 3)",1,512,relu,0.4,32,50,0.001,softmax,0.9497717022895812
1,32,"(3, 3)",1,512,relu,0.4,32,50,0.01,sigmoid,0.3424657583236694
1,32,"(3, 3)",1,512,relu,0.4,32,50,0.01,softmax,0.3424657583236694
1,32,"(3, 3)",1,512,relu,0.4,32,50,0.1,sigmoid,0.3424657583236694
1,32,"(3, 3)",1,512,relu,0.4,32,50,0.1,softmax,0.3321917951107025
1,32,"(3, 3)",2,32,relu,0.4,32,50,0.001,sigmoid,0.9326484203338624
1,32,"(3, 3)",2,32,relu,0.4,32,50,0.001,softmax,0.91780823469162
1,32,"(3, 3)",2,32,relu,0.4,32,50,0.01,sigmoid,0.3424657583236694
1,32,"(3, 3)",2,32,relu,0.4,32,50,0.01,softmax,0.3424657583236694
1,32,"(3, 3)",2,32,relu,0.4,32,50,0.1,sigmoid,0.3253424763679504
1,32,"(3, 3)",2,32,relu,0.4,32,50,0.1,softmax,0.3424657583236694
1,32,"(3, 3)",2,64,relu,0.4,32,50,0.001,sigmoid,0.9383561611175536
1,32,"(3, 3)",2,64,relu,0.4,32,50,0.001,softmax,0.9474886059761048
1,32,"(3, 3)",2,64,relu,0.4,32,50,0.01,sigmoid,0.8504565954208374
1,32,"(3, 3)",2,64,relu,0.4,32,50,0.01,softmax,0.3424657583236694
1,32,"(3, 3)",2,64,relu,0.4,32,50,0.1,sigmoid,0.3424657583236694
1,32,"(3, 3)",2,64,relu,0.4,32,50,0.1,softmax,0.3424657583236694
1,32,"(3, 3)",2,128,relu,0.4,32,50,0.001,sigmoid,0.8550228476524353
1,32,"(3, 3)",2,128,relu,0.4,32,50,0.001,softmax,0.9497717022895812
1,32,"(3, 3)",2,128,relu,0.4,32,50,0.01,sigmoid,0.3424657583236694
1,32,"(3, 3)",2,128,relu,0.4,32,50,0.01,softmax,0.3253424763679504
1,32,"(3, 3)",2,128,relu,0.4,32,50,0.1,sigmoid,0.3424657583236694
1,32,"(3, 3)",2,128,relu,0.4,32,50,0.1,softmax,0.3321917951107025
1,32,"(3, 3)",2,256,relu,0.4,32,50,0.001,sigmoid,0.9406392574310304
1,32,"(3, 3)",2,256,relu,0.4,32,50,0.001,softmax,0.9577625393867492
1,32,"(3, 3)",2,256,relu,0.4,32,50,0.01,sigmoid,0.3424657583236694
1,32,"(3, 3)",2,256,relu,0.4,32,50,0.01,softmax,0.9257990717887878
1,32,"(3, 3)",2,256,relu,0.4,32,50,0.1,sigmoid,0.3253424763679504
1,32,"(3, 3)",2,256,relu,0.4,32,50,0.1,softmax,0.3424657583236694
1,32,"(3, 3)",2,512,relu,0.4,32,50,0.001,sigmoid,0.9589040875434875
1,32,"(3, 3)",2,512,relu,0.4,32,50,0.001,softmax,0.952054798603058
1,32,"(3, 3)",2,512,relu,0.4,32,50,0.01,sigmoid,0.3321917951107025
1,32,"(3, 3)",2,512,relu,0.4,32,50,0.01,softmax,0.3321917951107025
1,32,"(3, 3)",2,512,relu,0.4,32,50,0.1,sigmoid,0.3424657583236694
1,32,"(3, 3)",2,512,relu,0.4,32,50,0.1,softmax,0.3253424763679504
1,32,"(3, 3)",3,32,relu,0.4,32,50,0.001,sigmoid,0.9440639019012452
1,32,"(3, 3)",3,32,relu,0.4,32,50,0.001,softmax,0.8641552329063416
1,32,"(3, 3)",3,32,relu,0.4,32,50,0.01,sigmoid,0.3321917951107025
1,32,"(3, 3)",3,32,relu,0.4,32,50,0.01,softmax,0.3424657583236694
1,32,"(3, 3)",3,32,relu,0.4,32,50,0.1,sigmoid,0.3253424763679504
1,32,"(3, 3)",3,32,relu,0.4,32,50,0.1,softmax,0.3321917951107025
1,32,"(3, 3)",3,64,relu,0.4,32,50,0.001,sigmoid,0.9417808055877686
1,32,"(3, 3)",3,64,relu,0.4,32,50,0.001,softmax,0.9383561611175536
1,32,"(3, 3)",3,64,relu,0.4,32,50,0.01,sigmoid,0.3424657583236694
1,32,"(3, 3)",3,64,relu,0.4,32,50,0.01,softmax,0.3321917951107025
1,32,"(3, 3)",3,64,relu,0.4,32,50,0.1,sigmoid,0.3424657583236694
1,32,"(3, 3)",3,64,relu,0.4,32,50,0.1,softmax,0.3321917951107025
1,32,"(3, 3)",3,128,relu,0.4,32,50,0.001,sigmoid,0.9452054500579834
1,32,"(3, 3)",3,128,relu,0.4,32,50,0.001,softmax,0.952054798603058
1,32,"(3, 3)",3,128,relu,0.4,32,50,0.01,sigmoid,0.9166666865348816
1,32,"(3, 3)",3,128,relu,0.4,32,50,0.01,softmax,0.9155251383781432
1,32,"(3, 3)",3,128,relu,0.4,32,50,0.1,sigmoid,0.3321917951107025
1,32,"(3, 3)",3,128,relu,0.4,32,50,0.1,softmax,0.3321917951107025
1,32,"(3, 3)",3,256,relu,0.4,32,50,0.001,sigmoid,0.9509132504463196
1,32,"(3, 3)",3,256,relu,0.4,32,50,0.001,softmax,0.9509132504463196
1,32,"(3, 3)",3,256,relu,0.4,32,50,0.01,sigmoid,0.3424657583236694
1,32,"(3, 3)",3,256,relu,0.4,32,50,0.01,softmax,0.9292237162590028
1,32,"(3, 3)",3,256,relu,0.4,32,50,0.1,sigmoid,0.3253424763679504
1,32,"(3, 3)",3,256,relu,0.4,32,50,0.1,softmax,0.3424657583236694
1,32,"(3, 3)",3,512,relu,0.4,32,50,0.001,sigmoid,0.9509132504463196
1,32,"(3, 3)",3,512,relu,0.4,32,50,0.001,softmax,0.956620991230011
1,32,"(3, 3)",3,512,relu,0.4,32,50,0.01,sigmoid,0.3321917951107025
1,32,"(3, 3)",3,512,relu,0.4,32,50,0.01,softmax,0.3424657583236694
1,32,"(3, 3)",3,512,relu,0.4,32,50,0.1,sigmoid,0.3321917951107025
1,32,"(3, 3)",3,512,relu,0.4,32,50,0.1,softmax,0.3321917951107025
1,32,"(5, 5)",1,32,relu,0.4,32,50,0.001,sigmoid,0.9623287916183472
1,32,"(5, 5)",1,32,relu,0.4,32,50,0.001,softmax,0.3424657583236694
