Hidden Layers,Units per Layer,Activation,Learning Rate,Batch Size,Epochs,Accuracy
1,64,relu,0.001,16,30,0.9155251141552512
1,64,relu,0.001,16,50,0.9360730593607306
1,64,relu,0.001,16,70,0.9292237442922374
1,64,relu,0.001,32,10,0.8687214611872146
1,64,relu,0.001,32,30,0.9143835616438356
1,64,relu,0.001,32,50,0.9223744292237442
1,64,relu,0.001,32,70,0.9189497716894978
1,64,relu,0.001,64,10,0.8242009132420092
1,64,relu,0.001,64,30,0.9018264840182648
1,64,relu,0.001,64,50,0.9223744292237442
1,64,relu,0.001,64,70,0.9121004566210046
1,64,relu,0.01,16,10,0.8984018264840182
1,64,relu,0.01,16,30,0.9200913242009132
1,64,relu,0.01,16,50,0.9372146118721462
1,64,relu,0.01,16,70,0.9143835616438356
1,64,relu,0.01,32,10,0.9006849315068494
1,64,relu,0.01,32,30,0.9200913242009132
1,64,relu,0.01,32,50,0.9372146118721462
1,64,relu,0.01,32,70,0.932648401826484
1,64,relu,0.01,64,10,0.9143835616438356
1,64,relu,0.01,64,30,0.9292237442922374
1,64,relu,0.01,64,50,0.9315068493150684
1,64,relu,0.01,64,70,0.9360730593607306
1,64,relu,0.1,16,10,0.8755707762557078
1,64,relu,0.1,16,30,0.9018264840182648
1,64,relu,0.1,16,50,0.906392694063927
1,64,relu,0.1,16,70,0.908675799086758
1,64,relu,0.1,32,10,0.8789954337899544
1,64,relu,0.1,32,30,0.8984018264840182
1,64,relu,0.1,32,50,0.8949771689497716
1,64,relu,0.1,32,70,0.8961187214611872
1,64,relu,0.1,64,10,0.863013698630137
1,64,relu,0.1,64,30,0.889269406392694
1,64,relu,0.1,64,50,0.906392694063927
1,64,relu,0.1,64,70,0.9052511415525114
1,64,sigmoid,0.001,16,10,0.6267123287671232
1,64,sigmoid,0.001,16,30,0.8116438356164384
1,64,sigmoid,0.001,16,50,0.8162100456621004
1,64,sigmoid,0.001,16,70,0.8242009132420092
1,64,sigmoid,0.001,32,10,0.569634703196347
1,64,sigmoid,0.001,32,30,0.7751141552511416
